alpha,gamma,m_neighbors,refine_iters,mean_err_l2,cov_err_fro,corr_err_fro,mmd,composite_score
0.4,1.5,16,1,0.4453185426944037,1.7498347068700417,0.33843479257976844,0.3440977426656307,1.919052103159926
0.4,1.0,32,3,0.4289687233518969,1.7692257323796772,0.30096943838981327,0.38363785216991647,1.9197104515745838
0.4,1.0,16,1,0.43810476731881953,1.7523443730406583,0.33781458134935394,0.34899897440990935,1.9212516637153352
0.1,1.5,64,3,0.5393044382984808,1.8130349070937783,0.21736579267968814,0.2106391188439285,1.9217178034336224
0.4,2.0,32,2,0.43970918099339057,1.77316952859948,0.30292655522926715,0.357953967799352,1.9246328062141136
0.1,2.0,32,3,0.5320458300781084,1.844062281418401,0.16886577851504617,0.17930773352881887,1.928495170675924
0.1,1.5,64,2,0.5401464864307055,1.8205456094393864,0.2165976514889482,0.1967351826828336,1.9288444351838605
0.1,2.0,32,2,0.5318902341183404,1.8446868736618094,0.168947283245397,0.18901213518254673,1.929160515284508
0.4,2.0,64,2,0.43468979290901233,1.7679858297684892,0.3232922635583925,0.35743078920498206,1.9296319615476853
0.4,1.5,32,2,0.437453199757265,1.7766205348499706,0.31006680133614484,0.3786989283963996,1.931653935518043
0.4,1.0,32,2,0.4319231489992124,1.7787794066991718,0.31149606861306406,0.3677298685267819,1.9345274410057038
0.4,1.5,64,2,0.43286675461696655,1.7713937966756572,0.3276196943580853,0.3830363156117115,1.9352036438546998
0.4,1.0,64,2,0.4281753800546008,1.773596898162228,0.32595554592328246,0.36975515222549876,1.9365746711238694
0.4,2.0,32,1,0.44308224888595676,1.7841304914472913,0.3143353686855949,0.3478989125316096,1.9412981757900887
0.4,1.5,32,1,0.4405154745150118,1.787081330969201,0.3214728580637051,0.37766156421239544,1.9478177600010536
0.4,1.0,32,1,0.43448731798662366,1.7883689487479995,0.32319395012770574,0.3841972249214388,1.9499659238118523
0.1,1.5,64,1,0.5445338770702327,1.842283888895654,0.21773080886071267,0.18747453007546927,1.9511492933260104
0.1,2.0,32,1,0.5323578628733807,1.8683034875844116,0.1718567724959718,0.19113712479732997,1.9542318738323974
0.4,2.0,64,1,0.4379944523842841,1.7862138993825725,0.3373880459152887,0.36360083718507463,1.9549079223402168
0.5,0.5,64,1,0.4232808535504889,1.7501874515191838,0.41141733676752323,0.3855201236246884,1.9558961199029454
0.4,1.5,64,1,0.4358035624258894,1.7891685116082219,0.3413491598847612,0.3791189006823267,1.9598430915506024
0.4,1.0,64,1,0.4304535514054207,1.7902960899800464,0.339480978348016,0.36652426955285466,1.9600365791540544
0.5,2.0,64,3,0.46387007122897234,1.8083497682166985,0.3387838884804498,0.3695097548134741,1.9777417124569234
0.5,1.5,64,3,0.46197657349034615,1.811761344161581,0.34443198936816555,0.3885615443022667,1.9839773388456639
0.5,1.0,64,3,0.45698169941820727,1.812947565255592,0.3448372715015401,0.38558438043288057,1.985366201006362
0.5,2.0,64,2,0.46765180073876,1.828790635188073,0.3550631051111747,0.41646344214414227,2.00632218774366
0.5,1.0,64,2,0.46008245712060186,1.8306509444180024,0.36135816464817877,0.39907145866652516,2.0113300267420917
0.5,1.5,64,2,0.465517020953315,1.8312132508764785,0.36076479181266974,0.4081951723117908,2.0115956467828133
0.5,0.5,16,3,0.41321134767329154,1.8896914740749873,0.31979822690412624,0.356153615223535,2.0495905875270504
0.5,2.0,64,1,0.4716094569455807,1.8561351961944699,0.4051197871295607,0.40157361049324614,2.0586950897592504
0.5,1.0,64,1,0.46340235554466863,1.855729167585849,0.4123863367980304,0.41362738562116963,2.061922335984864
0.5,1.5,64,1,0.4692672096303661,1.8578036469327701,0.4109699591923431,0.40967579313762525,2.0632886265289416
0.5,0.5,32,3,0.43329221871378465,1.9320336621263265,0.33477178179564687,0.41459502725231046,2.09941955302415
0.5,0.5,32,2,0.4338880830111261,1.9417748397251395,0.3519253978657014,0.41168946805176904,2.11773753865799
0.5,0.5,16,2,0.4315272711778149,1.953403751334961,0.3996517729089978,0.36690086002136385,2.15322963778946
0.5,1.5,16,3,0.47344774659903743,2.012756526067821,0.28109113760945525,0.382877621618212,2.1533020948725485
0.5,1.0,16,3,0.4618315315768109,1.9941356116500562,0.3223853730908658,0.36131244640140936,2.155328298195489
0.5,2.0,16,3,0.47876642372606687,2.020426604168721,0.27730686432858875,0.35973242962392366,2.159080036333015
0.1,2.0,64,3,0.5903394471520732,2.0665736809117723,0.229016399694446,0.20383630914353562,2.1810818807589953
0.1,2.0,64,2,0.591135371459075,2.0743001720162737,0.22816576560047025,0.18095975907912973,2.1883830548165086
0.5,1.5,32,3,0.482805000913346,2.0402022566900975,0.3060308258179665,0.38848327117000603,2.193217669599081
0.5,1.0,32,3,0.4730886621366784,2.024655580379669,0.33920173167794354,0.39134519428839826,2.1942564462186405
0.5,2.0,32,3,0.487691239206081,2.048106714877311,0.3072245280530543,0.3954457675567345,2.201718978903838
0.5,1.5,32,2,0.4837107356902237,2.049986651380709,0.30881455567411153,0.4087008732644962,2.2043939292177646
0.5,2.0,32,2,0.4888270198344248,2.0587964737442253,0.3001331982814572,0.4105392952945689,2.2088630728849536
0.5,1.0,32,2,0.4738692577385274,2.0339971866274307,0.3525747319183205,0.39542791040006825,2.210284552586591
0.1,2.0,64,1,0.5955752547990096,2.098298089931215,0.2300633123158255,0.22194128736164684,2.2133297460891277
0.5,0.5,32,1,0.44353965593174705,1.995967655666726,0.44009129450200074,0.4360938742314695,2.2160133029177262
0.5,2.0,16,2,0.4830424561229852,2.038360970630001,0.3620867707020674,0.37193128695579286,2.219404355981035
0.5,1.0,16,2,0.4729546896764395,2.040947631558666,0.35905295151926153,0.35994938239399604,2.2204741073182968
0.5,1.5,16,2,0.4806099849233205,2.04247080745007,0.3611010169727909,0.3918638993650279,2.2230213159364656
0.5,2.0,32,1,0.49141052899846593,2.0841814192387975,0.4217167737848562,0.422487971530613,2.295039806131226
0.5,1.0,32,1,0.48346041261140493,2.086429483737806,0.4213240463228676,0.4078397948258655,2.29709150689924
0.5,1.5,32,1,0.4893815130918468,2.0873233767769,0.4225429144096101,0.4034793067897134,2.298594833981705
0.5,2.0,16,1,0.4887609968881075,2.0591763977815774,1.0742644109994375,0.37441390125032437,2.596308603281296
0.5,1.5,16,1,0.4862656065649954,2.0633439830278353,1.074307831395892,0.40750392217019826,2.600497898725781
0.5,1.0,16,1,0.48067819379132803,2.0696135166630243,1.0742303053555047,0.3779329898283454,2.6067286693407765
0.5,0.5,16,1,0.46079706161106015,2.074695964697677,1.0729452825077392,0.3964431791799142,2.611168605951547
